Risk_ID,Asset,Security_Finding,Threat_Scenario,Business_Risk,Likelihood_1_5,Impact_1_5,Inherent_Risk_Score,Inherent_Risk_Level,AWS_Controls,NIST_CSF_2_0,LGPD_Reference,Treatment_Strategy,Treatment_Plan,Residual_Likelihood_1_5,Residual_Impact_1_5,Residual_Risk_Score,Residual_Risk_Level,Risk_Owner,Status,AWS_Reference,NIST_Source,LGPD_Source
RISK-001,Amazon S3 customer-data bucket,A bucket containing customer data allows public access.,An unauthorized internet user accesses objects stored in the bucket.,"Exposure of personal data may cause harm to customers, regulatory exposure, reputational damage, and incident-response costs.",4,5,20,Critical,S3 Block Public Access; restrictive bucket policies; IAM least privilege; SSE-KMS encryption; Amazon Macie; monitoring and alerts,PR.DS; PR.AA; DE.CM,"Art. 46; Art. 50; Art. 6(VII, VIII, X)",Mitigate,"Enable S3 Block Public Access at account and bucket level, remove public ACL/policies, restrict access by IAM role, encrypt sensitive data, classify data, and monitor for exposure.",1,5,5,Moderate,Cloud Security Lead / Data Owner,Planned,https://docs.aws.amazon.com/AmazonS3/latest/userguide/access-control-block-public-access.html,https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.29.pdf,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/lei/l13709compilado.htm
RISK-002,AWS IAM roles and policies,IAM users and roles have permissions broader than required for their business functions.,Compromised or misused credentials allow unauthorized access or modification of cloud resources.,"Excessive privileges increase the blast radius of credential compromise and may lead to data exposure, service disruption, or unauthorized changes.",4,4,16,High,IAM least privilege; IAM Access Analyzer; permissions boundaries; role-based access; periodic access reviews; temporary credentials,PR.AA; GV.RR; ID.RA,Art. 46; Art. 50,Mitigate,"Review permissions, remove unused access, replace broad managed policies with scoped policies, use roles and temporary credentials, and establish quarterly entitlement reviews.",2,4,8,Moderate,IAM / Security Lead,Planned,https://docs.aws.amazon.com/IAM/latest/UserGuide/best-practices.html,https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.29.pdf,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/lei/l13709compilado.htm
RISK-003,Privileged AWS identities,Multi-factor authentication is not enforced for privileged human access.,A stolen or phished password is used to access a privileged AWS account.,"Account takeover may enable unauthorized administrative activity, data access, configuration changes, and service disruption.",4,5,20,Critical,MFA; federation with identity provider; temporary credentials; root-user protection; conditional access; credential monitoring,PR.AA,Art. 46; Art. 50,Mitigate,"Enforce MFA for privileged access, use federation and temporary credentials for human users, secure the root user, and monitor authentication anomalies.",1,5,5,Moderate,IAM / Security Lead,Planned,https://docs.aws.amazon.com/IAM/latest/UserGuide/best-practices.html,https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.29.pdf,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/lei/l13709compilado.htm
RISK-004,AWS audit logs,"CloudTrail logging is incomplete, not centrally retained, or not integrated with monitoring.",Malicious or unauthorized activity occurs without sufficient audit evidence for timely detection and investigation.,"Insufficient logging can delay incident detection, impair forensic investigation, weaken auditability, and increase incident impact.",3,4,12,High,Multi-Region CloudTrail; centralized log archive; log file integrity validation; CloudWatch Logs integration; alerts; restricted log-bucket access,DE.CM; DE.AE; RS.AN,Art. 46; Art. 48; Art. 50,Mitigate,"Enable organization-wide or multi-Region CloudTrail, centralize logs in a protected account/bucket, enable integrity validation, define retention, and configure CloudWatch alerting.",1,4,4,Low,Security Operations Lead,Planned,https://docs.aws.amazon.com/awscloudtrail/latest/userguide/best-practices-security.html,https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.29.pdf,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/lei/l13709compilado.htm
RISK-005,Customer and operational data,Personal and sensitive data are stored without a consistent inventory or classification scheme.,Sensitive information receives inadequate protection because the organization does not know where it is stored or how sensitive it is.,"Poor data visibility may lead to excessive access, inappropriate retention, weak protection, and difficulty responding to privacy or security incidents.",4,4,16,High,Amazon Macie; data inventory; classification labels/tags; encryption; access controls; retention rules; data-owner assignment,ID.AM; PR.DS; GV.RR,"Art. 46; Art. 50; Art. 6(III, VII, VIII, X)",Mitigate,"Create a data inventory and classification standard, assign data owners, use Macie to discover sensitive data, apply retention rules, encrypt sensitive datasets, and align access with classification.",2,4,8,Moderate,Data Owner / Privacy Lead,Planned,https://docs.aws.amazon.com/macie/latest/user/what-is-macie.html,https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.29.pdf,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/lei/l13709compilado.htm
RISK-006,AWS cloud configuration baseline,Security-relevant resource configurations can drift from approved baselines without timely detection.,A resource becomes non-compliant or insecure after manual or automated configuration changes.,"Configuration drift can introduce exploitable weaknesses, inconsistent controls, audit failures, and unplanned exposure.",3,4,12,High,AWS Config; Config rules; conformance packs; Infrastructure as Code; change control; Security Hub; remediation automation,PR.PS; DE.CM; GV.PO,Art. 46; Art. 50,Mitigate,"Define approved configuration baselines, enable AWS Config across relevant accounts and Regions, deploy conformance rules, use Infrastructure as Code, and automate remediation for critical deviations.",2,3,6,Moderate,Cloud Platform / DevOps Lead,Planned,https://docs.aws.amazon.com/config/latest/developerguide/WhatIsConfig.html,https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.29.pdf,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/lei/l13709compilado.htm
RISK-007,Critical databases and application data,Backups and recovery procedures are incomplete or are not regularly tested.,"A ransomware event, accidental deletion, service failure, or destructive change makes critical data unavailable.","Failure to restore critical services and data may cause prolonged downtime, financial loss, customer impact, and operational disruption.",3,5,15,High,AWS Backup; defined RPO/RTO; cross-account or cross-Region copies; protected backup vaults; restore testing; recovery runbooks,PR.IR; RC.RP,Art. 46; Art. 50,Mitigate,"Define backup policy and RPO/RTO, centralize backup management, protect recovery copies from unauthorized deletion, perform scheduled restore tests, and document recovery procedures.",1,5,5,Moderate,IT Continuity / Cloud Operations Lead,Planned,https://docs.aws.amazon.com/aws-backup/latest/devguide/whatisbackup.html,https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.29.pdf,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/lei/l13709compilado.htm
RISK-008,AWS Security Hub findings,"High-severity security findings do not have defined ownership, remediation SLAs, or consistent tracking.",Known weaknesses remain unresolved long enough to be exploited or to contribute to a security incident.,"Unmanaged findings increase exposure time, create control gaps, and reduce management visibility into cybersecurity risk.",4,4,16,High,AWS Security Hub; severity-based triage; finding ownership; remediation SLA; EventBridge/ticket integration; management reporting,ID.RA; DE.AE; GV.OV; ID.IM,Art. 46; Art. 50,Mitigate,"Define triage and remediation SLAs by severity, assign owners, integrate critical findings with ticketing/workflow, track exceptions, and report overdue findings to governance stakeholders.",2,3,6,Moderate,Security Operations Lead,Planned,https://docs.aws.amazon.com/securityhub/latest/userguide/what-is-securityhub.html,https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.29.pdf,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/lei/l13709compilado.htm
RISK-009,Third-party AWS access,External providers use standing credentials or retain access broader or longer than required.,A vendor account is compromised or misused and is used to access company cloud resources.,"Third-party access may expose data or systems, increase supply-chain risk, and create accountability and compliance gaps.",3,5,15,High,Federated access; IAM roles; temporary credentials; least privilege; access expiration; vendor reviews; logging; IAM Access Analyzer,GV.SC; PR.AA; GV.RR,Art. 46; Art. 50,Mitigate,"Replace standing vendor credentials with federated/time-bound roles, define approved permissions and expiration, review third-party access periodically, log activity, and include security obligations in vendor governance.",2,4,8,Moderate,Vendor Risk / Security Lead,Planned,https://docs.aws.amazon.com/IAM/latest/UserGuide/best-practices.html,https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.29.pdf,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/lei/l13709compilado.htm
RISK-010,Incident response capability,The organization does not have a tested cybersecurity and personal-data incident response plan.,"A security incident occurs and responsibilities, containment steps, evidence collection, escalation, and communications are unclear.",Delayed or inconsistent response can increase technical and business impact and impair regulatory and stakeholder communications.,4,5,20,Critical,Incident-response plan; roles and escalation matrix; AWS logging/monitoring; playbooks; tabletop exercises; evidence preservation; communication procedures,RS.MA; RS.AN; RS.CO; RS.MI; GV.RR,Art. 46; Art. 48; Art. 50,Mitigate,"Create and approve an incident-response plan, assign roles, define security and privacy escalation paths, create cloud-specific playbooks, run tabletop exercises, and establish incident communication procedures.",2,4,8,Moderate,Incident Response Lead / Privacy Lead,Planned,https://docs.aws.amazon.com/whitepapers/latest/aws-security-incident-response-guide/aws-security-incident-response-guide.html,https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.29.pdf,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/lei/l13709compilado.htm
